imagen,error_traslacion,error_rotacion,error_rotacion_x_traslacion
imagen_89,0.8088321767024708,0.0030550293711179327,5.8070133805396
imagen_90,1.2907342253275431,0.005020858661834829,8.168534851003365
imagen_91,0.9938237825944597,0.0016720126075464386,3.9975541295759447
imagen_92,2.344141281941628,0.001556727258937469,5.227283818557762
imagen_93,2.139410082113071,0.0026333103566963893,6.565066889177871
imagen_94,0.5676142278508085,0.0005734906127269172,1.4594693497664513
imagen_95,0.6847057900774214,0.0018643315266082977,2.925762683143511
imagen_96,2.3588088000710403,0.0018159859392241724,6.335215398913999
imagen_97,1.7256050216976737,0.0010067843557841733,2.301862877109485
imagen_98,2.238975801601443,0.011923870647888376,28.562514329298537
imagen_99,3.8750841620760763,0.007209075628751292,9.6350455030666
