imagen,rotacion,traslacion
0021.jpg,"[[0.70149083]
 [0.73340696]
 [0.54423116]]","[[ 947.72636518]
 [  83.51825466]
 [2580.72430518]]"
0022.jpg,"[[-0.58922666]
 [ 0.92663556]
 [-0.42100835]]","[[ 415.81329186]
 [-157.49720868]
 [2416.63117006]]"
0023.jpg,"[[-0.5953967 ]
 [-0.56268838]
 [ 0.01090498]]","[[ 888.5604805 ]
 [ 485.8836703 ]
 [5242.26721014]]"
0024.jpg,"[[-0.97538204]
 [ 0.04202435]
 [ 0.04371264]]","[[ -33.53450849]
 [  14.74043314]
 [2306.17197813]]"
0025.jpg,"[[-1.12101138]
 [ 0.45176853]
 [-1.2021411 ]]","[[  94.64301367]
 [ 374.84138245]
 [5068.24269016]]"
0026.jpg,"[[-0.17602404]
 [ 0.54785398]
 [ 0.29477915]]","[[ 594.23785059]
 [ 662.22458557]
 [4288.94791692]]"
0027.jpg,"[[ 0.03656519]
 [-0.73877198]
 [-0.26326954]]","[[-963.92114696]
 [ 687.69894929]
 [2622.52923435]]"
0028.jpg,"[[ 0.68344462]
 [-0.95457135]
 [ 0.10390539]]","[[-443.20287395]
 [-304.96339684]
 [1949.80618199]]"
0029.jpg,"[[-0.11927594]
 [-0.11671049]
 [-0.22060056]]","[[-1237.36763869]
 [ -157.54336476]
 [ 2208.66871563]]"
0030.jpg,"[[-0.18081236]
 [-0.45564282]
 [ 0.73725251]]","[[-1087.12467364]
 [  141.59206381]
 [ 5099.1960528 ]]"
0031.jpg,"[[-0.69057299]
 [ 0.40792485]
 [ 0.31705596]]","[[-1122.91817964]
 [  103.32525137]
 [ 2880.95885042]]"
0033.jpg,"[[-0.2332926 ]
 [-0.95622152]
 [-0.1178189 ]]","[[-541.1803619 ]
 [ 238.74152769]
 [2750.82753141]]"
0034.jpg,"[[ 0.6466942 ]
 [ 0.07512653]
 [-0.11394732]]","[[ 729.93088855]
 [ 151.7433328 ]
 [2038.99172242]]"
0035.jpg,"[[ 0.76637412]
 [-0.34604972]
 [ 0.74957006]]","[[ 227.62999747]
 [ 168.90615357]
 [4545.44473222]]"
0036.jpg,"[[ 0.2488135 ]
 [-0.76944284]
 [ 0.57265381]]","[[ 570.7503977 ]
 [ 430.40629374]
 [3856.55797239]]"
0037.jpg,"[[ 0.77118078]
 [-0.89200685]
 [-0.25351292]]","[[ 432.31231995]
 [-155.56735823]
 [4421.84248443]]"
0038.jpg,"[[-0.69005365]
 [ 0.8259011 ]
 [-0.88606503]]","[[-864.36769238]
 [ 198.82883112]
 [4195.29395703]]"
0039.jpg,"[[-0.2112439 ]
 [ 0.8669359 ]
 [-0.41405193]]","[[ 125.29597427]
 [ 825.17775569]
 [3097.92167982]]"
0040.jpg,"[[ 0.25741785]
 [-0.72629823]
 [ 0.26459401]]","[[-1104.66410866]
 [  559.94542226]
 [ 3219.49031343]]"
0041.jpg,"[[-0.37483044]
 [ 0.14397708]
 [-0.09964805]]","[[-776.97154254]
 [-185.88231022]
 [3832.52329311]]"
0042.jpg,"[[ 0.06253729]
 [-0.28508233]
 [-0.70159906]]","[[ 369.14694115]
 [ 154.01678868]
 [2342.71896907]]"
0043.jpg,"[[-0.4341083 ]
 [ 0.32872582]
 [-0.02529114]]","[[ 861.2272678 ]
 [-391.16003628]
 [3363.48505147]]"
0044.jpg,"[[1.14724473]
 [0.59842676]
 [0.5131243 ]]","[[-1008.31431409]
 [  -30.51837847]
 [ 4027.34608385]]"
0045.jpg,"[[-0.18925445]
 [-0.43408619]
 [-0.60904947]]","[[ 381.25829896]
 [ 611.51140097]
 [4914.54488261]]"
0046.jpg,"[[ 0.41176693]
 [-0.91637926]
 [-0.10641423]]","[[-868.53353892]
 [-406.02297776]
 [2331.55400551]]"
0047.jpg,"[[ 0.18640502]
 [-0.14990305]
 [-0.92345913]]","[[-1124.43139051]
 [ -485.56553535]
 [ 2313.15417194]]"
0049.jpg,"[[-0.4460333 ]
 [ 0.39818428]
 [-0.21749765]]","[[-498.78258064]
 [ 615.91464833]
 [4723.01632797]]"
0050.jpg,"[[-0.21029097]
 [ 1.00340884]
 [-0.62746825]]","[[ 338.65725581]
 [ -73.54440618]
 [4411.56088306]]"
0051.jpg,"[[ 0.66192123]
 [-0.78435822]
 [ 0.58427281]]","[[-4.25482060e+00]
 [ 3.24568285e+02]
 [ 4.62154514e+03]]"
0052.jpg,"[[-0.83717328]
 [ 0.32439953]
 [-1.07240471]]","[[  16.02904158]
 [ 111.64016859]
 [3278.70489804]]"
0053.jpg,"[[-0.9677052 ]
 [-0.53480443]
 [ 0.62867026]]","[[ 241.79551398]
 [ 131.07439876]
 [2302.05829219]]"
0054.jpg,"[[-0.93209103]
 [ 0.62548768]
 [ 0.3088786 ]]","[[  70.45024893]
 [ 597.00142627]
 [3601.13760094]]"
0055.jpg,"[[-0.67200521]
 [-0.01737337]
 [ 0.34999449]]","[[-271.63613278]
 [ 171.83502121]
 [3386.76300941]]"
0056.jpg,"[[-0.3671914 ]
 [-0.43723489]
 [ 0.64631158]]","[[ 184.45251165]
 [ 530.49048799]
 [3258.36841263]]"
0057.jpg,"[[ 0.29488643]
 [ 0.07520166]
 [-0.47220653]]","[[ 406.8939914 ]
 [ 363.38180537]
 [2448.621693  ]]"
0058.jpg,"[[ 0.93805291]
 [-0.34937099]
 [-0.27502939]]","[[ 165.58090354]
 [ -35.03292631]
 [4277.85655019]]"
0059.jpg,"[[-0.46938103]
 [-0.66314134]
 [ 0.90608264]]","[[-852.67640325]
 [-341.731545  ]
 [3153.31979756]]"
0060.jpg,"[[-0.08185609]
 [-0.33285965]
 [ 0.84315147]]","[[  95.28177483]
 [-462.93303663]
 [4170.75374624]]"
0061.jpg,"[[-0.67204806]
 [ 0.30402973]
 [ 0.04424756]]","[[ 640.10839593]
 [ 632.48138112]
 [4788.54033448]]"
0062.jpg,"[[-0.50140921]
 [-0.35885759]
 [ 0.44946828]]","[[ 967.25100419]
 [ 585.02920564]
 [3575.01731315]]"
0063.jpg,"[[-0.58781739]
 [-0.04670489]
 [-0.78435613]]","[[-800.57636854]
 [ -20.6569995 ]
 [3173.24170453]]"
0064.jpg,"[[-0.08704549]
 [ 0.50949718]
 [-0.00573909]]","[[ 782.0031775 ]
 [-414.30556133]
 [3897.86983645]]"
0065.jpg,"[[ 0.55327072]
 [-0.26153195]
 [-0.34382496]]","[[ -59.76828971]
 [ 579.21104123]
 [2786.42921896]]"
0066.jpg,"[[-1.17248219]
 [-0.09504871]
 [-1.24162765]]","[[ -10.9457285 ]
 [-481.49088542]
 [3663.05802219]]"
0067.jpg,"[[ 0.7770577 ]
 [-0.16566287]
 [ 0.85627029]]","[[ 599.62768251]
 [-437.08126012]
 [4306.60898956]]"
0068.jpg,"[[-0.61464722]
 [ 0.20600346]
 [ 0.5661036 ]]","[[-129.12373566]
 [ 634.28797093]
 [4315.91709581]]"
0069.jpg,"[[0.55773571]
 [0.85550729]
 [0.08929985]]","[[ 200.32685717]
 [-313.59160111]
 [3262.09983054]]"
0070.jpg,"[[ 0.15341877]
 [-0.465943  ]
 [-0.8591618 ]]","[[ 321.65979988]
 [ -58.65277633]
 [2357.39225808]]"
0071.jpg,"[[-0.7394821 ]
 [ 0.38156704]
 [-0.38529144]]","[[ 420.86423504]
 [ 724.53864854]
 [3425.28640956]]"
0072.jpg,"[[-0.09708755]
 [-0.95940513]
 [ 0.0462805 ]]","[[-783.85912104]
 [ 375.30886544]
 [3684.04953951]]"
0073.jpg,"[[ 0.02536044]
 [-0.2411455 ]
 [ 0.2048843 ]]","[[ 776.7821354 ]
 [-220.83740372]
 [2638.35658974]]"
0074.jpg,"[[0.70885413]
 [0.1128913 ]
 [0.86108896]]","[[ 519.29632317]
 [-399.87572445]
 [3503.52734326]]"
0075.jpg,"[[ 0.90377873]
 [ 0.44909666]
 [-0.0543047 ]]","[[ 161.29500476]
 [ -83.16012654]
 [3615.26070742]]"
0076.jpg,"[[-0.60931948]
 [ 0.5089526 ]
 [ 0.59977401]]","[[ 735.65693084]
 [ 216.82641721]
 [3185.56272181]]"
0077.jpg,"[[ 0.85321253]
 [-0.26306937]
 [ 0.73008243]]","[[  10.54031866]
 [-272.92241451]
 [2866.64309246]]"
0078.jpg,"[[ 0.55815179]
 [-0.76480359]
 [-0.3430617 ]]","[[-197.35300371]
 [ 203.69887803]
 [2265.25059427]]"
0080.jpg,"[[ 0.06467364]
 [-0.40235629]
 [-1.00916252]]","[[ 551.98139598]
 [ 354.83416892]
 [4643.48367711]]"
0081.jpg,"[[ 1.12800829]
 [-0.58098858]
 [-1.171981  ]]","[[-251.80316237]
 [-243.82487455]
 [3601.6362763 ]]"
0082.jpg,"[[-0.43993329]
 [ 0.59582018]
 [-0.40288398]]","[[ 889.92127812]
 [ 489.94717724]
 [4140.32732176]]"
0083.jpg,"[[0.67958542]
 [0.33984156]
 [0.50749059]]","[[-1242.47340284]
 [ -391.59708442]
 [ 2920.15857906]]"
0084.jpg,"[[-0.35781061]
 [-0.15521861]
 [ 0.79463221]]","[[-1044.29628368]
 [ -159.12163317]
 [ 4691.3483023 ]]"
0085.jpg,"[[-0.92359905]
 [ 0.67227939]
 [-1.08847237]]","[[-282.12219236]
 [ 780.25694926]
 [4005.95157491]]"
0086.jpg,"[[-0.27758458]
 [ 0.3120883 ]
 [ 0.0238696 ]]","[[ -56.17977219]
 [-371.20422351]
 [3478.7709478 ]]"
0087.jpg,"[[ 0.92979241]
 [-0.03409386]
 [-0.82781594]]","[[-1308.68392745]
 [  562.3259849 ]
 [ 3619.2812284 ]]"
0088.jpg,"[[-0.84060988]
 [-0.19758948]
 [ 0.8221792 ]]","[[-1058.07330335]
 [  725.60738347]
 [ 4521.13793282]]"
0089.jpg,"[[-0.70088163]
 [ 0.29828687]
 [ 0.06328517]]","[[-485.03783937]
 [ 533.92224209]
 [2529.22238158]]"
0090.jpg,"[[-0.00885325]
 [-0.50778609]
 [ 0.69007401]]","[[-850.7572435 ]
 [ 695.31417885]
 [2658.44520048]]"
0091.jpg,"[[-0.71191771]
 [ 0.06225782]
 [ 0.42843072]]","[[ -65.93297313]
 [-321.60102528]
 [3350.52485914]]"
0092.jpg,"[[0.43178878]
 [0.77557901]
 [0.65326746]]","[[ 270.39836871]
 [ 466.22344061]
 [4495.93556206]]"
0093.jpg,"[[-0.39126311]
 [-0.30763492]
 [-0.2757815 ]]","[[-257.90453448]
 [-457.98586836]
 [3748.57902794]]"
0094.jpg,"[[ 0.91371149]
 [-0.90899814]
 [-0.37907237]]","[[-426.83788777]
 [ 176.12598296]
 [3488.37668935]]"
0095.jpg,"[[-0.6648203 ]
 [ 0.29961506]
 [-0.53446197]]","[[-526.33739891]
 [ 196.66335994]
 [1985.13403159]]"
0096.jpg,"[[0.16091491]
 [0.34940564]
 [0.89446803]]","[[-1324.83502609]
 [  525.32854653]
 [ 4521.05894667]]"
0097.jpg,"[[ 0.74157474]
 [-0.68648636]
 [ 0.17575769]]","[[ 322.64653092]
 [ 734.91980913]
 [3479.9894236 ]]"
0098.jpg,"[[ 0.49791982]
 [-0.38922799]
 [ 0.23220808]]","[[-682.71572316]
 [-324.99621742]
 [3328.79534636]]"
0099.jpg,"[[ 0.74734168]
 [-1.20881508]
 [-0.21512915]]","[[ 257.85841045]
 [ 162.64991631]
 [3401.96504603]]"
