imagen,rotacion,traslacion
0026.jpg,"[[ 0.52398815  0.23329455 -0.81915204  0.        ]
 [ 0.37970365  0.79691253  0.46984631  0.        ]
 [ 0.76240512 -0.55722892  0.32898993  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  175]
 [   0    1    0  662]
 [   0    0    1 3885]
 [   0    0    0    1]]"
0027.jpg,"[[ 0.59732919 -0.0733428   0.79863551  0.        ]
 [ 0.3228781   0.93353531 -0.15576119  0.        ]
 [-0.73413049  0.35090262  0.58130867  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  625]
 [   0    1    0  779]
 [   0    0    1 4290]
 [   0    0    0    1]]"
0028.jpg,"[[ 0.63295271  0.5502174   0.54463904  0.        ]
 [-0.77375064  0.42587439  0.46897863  0.        ]
 [ 0.02609239 -0.7182561   0.69528941  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -709]
 [   0    1    0 -375]
 [   0    0    1 3021]
 [   0    0    0    1]]"
0029.jpg,"[[ 0.91229348 -0.40617922  0.05233596  0.        ]
 [ 0.31959612  0.78601085  0.52919303  0.        ]
 [-0.25608384 -0.46605298  0.84688588  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -261]
 [   0    1    0   21]
 [   0    0    1 4973]
 [   0    0    0    1]]"
0030.jpg,"[[ 0.69346291  0.41667456  0.58778525  0.        ]
 [-0.69795121  0.59096277  0.4045085   0.        ]
 [-0.1788108  -0.69075707  0.70062927  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -808]
 [   0    1    0   59]
 [   0    0    1 3314]
 [   0    0    0    1]]"
0031.jpg,"[[ 0.43730985  0.24240481 -0.8660254   0.        ]
 [-0.02545103  0.96593798  0.25751904  0.        ]
 [ 0.89895069 -0.09057438  0.42858365  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  108]
 [   0    1    0  464]
 [   0    0    1 2746]
 [   0    0    0    1]]"
0032.jpg,"[[ 0.85077811 -0.10446242  0.51503807  0.        ]
 [ 0.45238339  0.64432944 -0.61659455  0.        ]
 [-0.26744324  0.75757982  0.59543844  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -630]
 [   0    1    0 -129]
 [   0    0    1 2245]
 [   0    0    0    1]]"
0033.jpg,"[[ 0.77163428 -0.39316731  0.5         0.        ]
 [ 0.62549744  0.61174375 -0.48427526  0.        ]
 [-0.11547068  0.68643212  0.7179676   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -370]
 [   0    1    0 -276]
 [   0    0    1 2571]
 [   0    0    0    1]]"
0034.jpg,"[[ 0.53181081 -0.21486551 -0.81915204  0.        ]
 [-0.34102176  0.83105051 -0.43938504  0.        ]
 [ 0.77516541  0.51301839  0.36868783  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1126]
 [    0     1     0   -38]
 [    0     0     1  2858]
 [    0     0     0     1]]"
0035.jpg,"[[ 0.52654078 -0.62750687  0.57357644  0.        ]
 [ 0.83367217  0.24892449 -0.49297801  0.        ]
 [ 0.16656986  0.73774774  0.65420391  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  699]
 [   0    1    0  476]
 [   0    0    1 4822]
 [   0    0    0    1]]"
0036.jpg,"[[ 0.95266573 -0.08334745 -0.2923717   0.        ]
 [ 0.150441    0.96493012  0.21512176  0.        ]
 [ 0.26418841 -0.24892382  0.93179473  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -317]
 [   0    1    0   84]
 [   0    0    1 3895]
 [   0    0    0    1]]"
0037.jpg,"[[ 0.45315389 -0.21130913 -0.8660254   0.        ]
 [ 0.83388531  0.44388278  0.32802951  0.        ]
 [ 0.31509813 -0.87081372  0.37735479  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -816]
 [   0    1    0  369]
 [   0    0    1 3508]
 [   0    0    0    1]]"
0038.jpg,"[[ 0.62022311 -0.57836741 -0.52991926  0.        ]
 [ 0.36089251  0.81019959 -0.4618801   0.        ]
 [ 0.69647677  0.09522482  0.71123298  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  288]
 [   0    1    0  677]
 [   0    0    1 3529]
 [   0    0    0    1]]"
0039.jpg,"[[ 0.48397748  0.80547379  0.34202014  0.        ]
 [-0.85785528  0.359545    0.36716716  0.        ]
 [ 0.17277189 -0.47110442  0.86499162  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  476]
 [   0    1    0 -178]
 [   0    0    1 2424]
 [   0    0    0    1]]"
0040.jpg,"[[ 0.87119896 -0.40624675  0.27563736  0.        ]
 [ 0.48947505  0.67558831 -0.55135706  0.        ]
 [ 0.03776964  0.6152593   0.78741948  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  551]
 [   0    1    0  186]
 [   0    0    1 4862]
 [   0    0    0    1]]"
0041.jpg,"[[ 0.53457365  0.48133228 -0.69465837  0.        ]
 [-0.77994115  0.59751924 -0.18617884  0.        ]
 [ 0.32545786  0.64131895  0.69482889  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  823]
 [   0    1    0  688]
 [   0    0    1 4565]
 [   0    0    0    1]]"
0042.jpg,"[[ 0.95266573  0.29125914  0.08715574  0.        ]
 [-0.24251792  0.55516784  0.79559646  0.        ]
 [ 0.18333868 -0.77907431  0.59952494  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1080]
 [    0     1     0   634]
 [    0     0     1  4352]
 [    0     0     0     1]]"
0043.jpg,"[[ 0.88233531  0.12400414  0.4539905   0.        ]
 [-0.1074735   0.99226327 -0.06215347  0.        ]
 [-0.45818538  0.00604825  0.88883608  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1264]
 [    0     1     0   354]
 [    0     0     1  4657]
 [    0     0     0     1]]"
0044.jpg,"[[ 0.8007888   0.54013887 -0.25881905  0.        ]
 [-0.56279929  0.53073132 -0.63370436  0.        ]
 [-0.20492498  0.65312653  0.72899347  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -775]
 [   0    1    0  788]
 [   0    0    1 4886]
 [   0    0    0    1]]"
0045.jpg,"[[ 0.98288676 -0.12068332 -0.1391731   0.        ]
 [ 0.14981962  0.96329188  0.22276185  0.        ]
 [ 0.10718068 -0.23980053  0.96488756  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -836]
 [   0    1    0 -203]
 [   0    0    1 3401]
 [   0    0    0    1]]"
0046.jpg,"[[ 0.72423622 -0.6753612  -0.1391731   0.        ]
 [ 0.30780099  0.49723774 -0.81118011  0.        ]
 [ 0.61704169  0.5446484   0.56799443  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  142]
 [   0    1    0  749]
 [   0    0    1 4630]
 [   0    0    0    1]]"
0047.jpg,"[[ 0.54090776  0.71780884 -0.43837115  0.        ]
 [-0.72305827  0.13060329 -0.67832848  0.        ]
 [-0.42965747  0.68388102  0.58966195  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1282]
 [    0     1     0   167]
 [    0     0     1  3444]
 [    0     0     0     1]]"
0048.jpg,"[[ 0.50985362  0.5865195  -0.62932039  0.        ]
 [-0.78999266  0.02964131 -0.61239937  0.        ]
 [-0.3405303   0.80939253  0.47845883  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -371]
 [   0    1    0 -308]
 [   0    0    1 4728]
 [   0    0    0    1]]"
0049.jpg,"[[ 0.98240881  0.17322518 -0.06975647  0.        ]
 [-0.06818617  0.68049622  0.72957216  0.        ]
 [ 0.17384929 -0.71198169  0.68033705  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  220]
 [   0    1    0   55]
 [   0    0    1 3089]
 [   0    0    0    1]]"
0050.jpg,"[[ 0.69975454  0.60828734  0.37460659  0.        ]
 [-0.61434645  0.24477988  0.7501075   0.        ]
 [ 0.36458474 -0.75502935  0.544985    0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -899]
 [   0    1    0 -493]
 [   0    0    1 4332]
 [   0    0    0    1]]"
0051.jpg,"[[ 0.47192937  0.4557369  -0.75470958  0.        ]
 [-0.87949785  0.18377167 -0.43898918  0.        ]
 [-0.06136932  0.87093734  0.48754687  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1049]
 [    0     1     0   196]
 [    0     0     1  2152]
 [    0     0     0     1]]"
0052.jpg,"[[ 0.80509169  0.34174115 -0.48480962  0.        ]
 [-0.28940805  0.93977437  0.18184366  0.        ]
 [ 0.51775512 -0.00609302  0.85550717  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -652]
 [   0    1    0  633]
 [   0    0    1 4038]
 [   0    0    0    1]]"
0053.jpg,"[[ 0.59503412 -0.20488668 -0.77714596  0.        ]
 [-0.20941439  0.8940328  -0.39604415  0.        ]
 [ 0.77593815  0.39840533  0.4890738   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  517]
 [   0    1    0 -437]
 [   0    0    1 4535]
 [   0    0    0    1]]"
0054.jpg,"[[ 0.94542711 -0.23572145 -0.22495105  0.        ]
 [ 0.05625721  0.79810812 -0.59988211  0.        ]
 [ 0.32094035  0.55448969  0.76781409  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -111]
 [   0    1    0  -56]
 [   0    0    1 3879]
 [   0    0    0    1]]"
0055.jpg,"[[ 0.39380676  0.3545852   0.8480481   0.        ]
 [-0.31008468  0.91976604 -0.24057831  0.        ]
 [-0.86531135 -0.16822536  0.47216152  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  334]
 [   0    1    0  471]
 [   0    0    1 2991]
 [   0    0    0    1]]"
0056.jpg,"[[ 0.5179825  -0.16830272 -0.83867057  0.        ]
 [ 0.55186199  0.81486623  0.17731713  0.        ]
 [ 0.65356137 -0.55467758  0.51496632  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -277]
 [   0    1    0  703]
 [   0    0    1 3182]
 [   0    0    0    1]]"
0057.jpg,"[[ 0.69471383 -0.60390552 -0.39073113  0.        ]
 [ 0.11000103  0.62603136 -0.77200033  0.        ]
 [ 0.7108252   0.49333848  0.50134288  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -542]
 [   0    1    0  363]
 [   0    0    1 4292]
 [   0    0    0    1]]"
0058.jpg,"[[ 0.7053843   0.7053843  -0.06975647  0.        ]
 [-0.68464134  0.65252386 -0.32477509  0.        ]
 [-0.18357349  0.27684941  0.94321534  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  549]
 [   0    1    0   42]
 [   0    0    1 4659]
 [   0    0    0    1]]"
0059.jpg,"[[ 0.88233531  0.12400414 -0.4539905   0.        ]
 [-0.42722231  0.61566436 -0.66214689  0.        ]
 [ 0.19739681  0.77819045  0.59619974  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1258]
 [    0     1     0   590]
 [    0     0     1  3630]
 [    0     0     0     1]]"
0060.jpg,"[[ 0.66546504 -0.7390738  -0.10452846  0.        ]
 [ 0.58316028  0.42737136  0.69085296  0.        ]
 [-0.46591885 -0.52069534  0.71539918  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -976]
 [   0    1    0  467]
 [   0    0    1 4265]
 [   0    0    0    1]]"
0061.jpg,"[[ 0.49878203 -0.03487824 -0.8660254   0.        ]
 [-0.43838059  0.85180689 -0.28678822  0.        ]
 [ 0.74768907  0.52269354  0.40957602  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -430]
 [   0    1    0 -389]
 [   0    0    1 4144]
 [   0    0    0    1]]"
0062.jpg,"[[ 0.74908409 -0.09197596  0.65605903  0.        ]
 [-0.50299411  0.56551482  0.65359767  0.        ]
 [-0.43112638 -0.81959344  0.37735479  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -405]
 [   0    1    0  763]
 [   0    0    1 3375]
 [   0    0    0    1]]"
0063.jpg,"[[ 0.6133187   0.78501213 -0.08715574  0.        ]
 [-0.78194704  0.58792849 -0.20712052  0.        ]
 [-0.11135078  0.19518207  0.97442545  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  448]
 [   0    1    0   79]
 [   0    0    1 3180]
 [   0    0    0    1]]"
0064.jpg,"[[ 0.8011437  -0.1125934  -0.58778525  0.        ]
 [ 0.29422062  0.92935855  0.22299531  0.        ]
 [ 0.52115545 -0.35158982  0.77767705  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1230]
 [    0     1     0   370]
 [    0     0     1  3657]
 [    0     0     0     1]]"
0065.jpg,"[[ 0.71158945 -0.36257293 -0.60181502  0.        ]
 [ 0.53228459  0.837296    0.12493412  0.        ]
 [ 0.45859958 -0.40923866  0.78880298  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1219]
 [    0     1     0   -54]
 [    0     0     1  4653]
 [    0     0     0     1]]"
0066.jpg,"[[ 0.95499417  0.05004912  0.2923717   0.        ]
 [ 0.17784105  0.69225455 -0.69939702  0.        ]
 [-0.23739985  0.71991577  0.65219828  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -260]
 [   0    1    0 -453]
 [   0    0    1 4135]
 [   0    0    0    1]]"
0067.jpg,"[[ 0.53475883 -0.16349218  0.82903757  0.        ]
 [-0.24362809  0.90961115  0.33653069  0.        ]
 [-0.80912196 -0.3819396   0.44659131  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  573]
 [   0    1    0 -137]
 [   0    0    1 3578]
 [   0    0    0    1]]"
0068.jpg,"[[ 0.6096699  -0.78034189 -0.1391731   0.        ]
 [ 0.34491834  0.41925623 -0.83979495  0.        ]
 [ 0.71367637  0.46399435  0.52476213  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   -5]
 [   0    1    0  614]
 [   0    0    1 2143]
 [   0    0    0    1]]"
0069.jpg,"[[ 0.61003475 -0.38119202  0.69465837  0.        ]
 [ 0.62416539  0.77124221 -0.12491205  0.        ]
 [-0.48813438  0.5097824   0.70841141  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1297]
 [    0     1     0   -44]
 [    0     0     1  4020]
 [    0     0     0     1]]"
0070.jpg,"[[ 0.70758221 -0.51408857  0.48480962  0.        ]
 [ 0.3563603   0.85205963  0.38340804  0.        ]
 [-0.6101924  -0.09852581  0.78610299  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -953]
 [   0    1    0  453]
 [   0    0    1 2899]
 [   0    0    0    1]]"
0071.jpg,"[[ 0.32412396  0.53943286  0.77714596  0.        ]
 [-0.85049312 -0.19356724  0.4890738   0.        ]
 [ 0.41425248 -0.81947783  0.39604415  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -675]
 [   0    1    0 -155]
 [   0    0    1 4668]
 [   0    0    0    1]]"
0072.jpg,"[[ 0.59440568 -0.09414461 -0.79863551  0.        ]
 [-0.31140298  0.88869302 -0.33653069  0.        ]
 [ 0.74142435  0.44873323  0.49892727  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  770]
 [   0    1    0  572]
 [   0    0    1 4966]
 [   0    0    0    1]]"
0073.jpg,"[[ 0.54466811 -0.58408504 -0.60181502  0.        ]
 [ 0.65814305  0.74245484 -0.12493412  0.        ]
 [ 0.51979263 -0.32803275  0.78880298  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -781]
 [   0    1    0 -213]
 [   0    0    1 2806]
 [   0    0    0    1]]"
0074.jpg,"[[ 0.55233746  0.2010344   0.80901699  0.        ]
 [-0.48079448  0.86963095  0.11215471  0.        ]
 [-0.68099926 -0.45091815  0.57698598  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  934]
 [   0    1    0  714]
 [   0    0    1 2448]
 [   0    0    0    1]]"
0075.jpg,"[[ 0.90949987  0.27806201  0.30901699  0.        ]
 [-0.39232694  0.81991514  0.41691574  0.        ]
 [-0.13743928 -0.5004205   0.85480393  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  148]
 [   0    1    0 -467]
 [   0    0    1 3721]
 [   0    0    0    1]]"
0076.jpg,"[[ 0.8236391  -0.26761657 -0.5         0.        ]
 [-0.15615234  0.74055826 -0.65359767  0.        ]
 [ 0.54519269  0.61640477  0.56816379  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -120]
 [   0    1    0 -343]
 [   0    0    1 3374]
 [   0    0    0    1]]"
0077.jpg,"[[ 0.99923861 -0.01744177 -0.0348995   0.        ]
 [-0.01361748  0.68233994 -0.73090818  0.        ]
 [ 0.03656166  0.73082692  0.68158291  0.        ]
 [ 0.          0.          0.          1.        ]]","[[    1     0     0 -1291]
 [    0     1     0  -500]
 [    0     0     1  3965]
 [    0     0     0     1]]"
0078.jpg,"[[ 0.34765832  0.55636961 -0.75470958  0.        ]
 [-0.30141444  0.82851192  0.47192937  0.        ]
 [ 0.88785304  0.06341019  0.4557369   0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -466]
 [   0    1    0  430]
 [   0    0    1 4934]
 [   0    0    0    1]]"
0079.jpg,"[[ 0.9559958  -0.10047921  0.27563736  0.        ]
 [ 0.09972836  0.99487326  0.01677633  0.        ]
 [-0.27590991  0.01145076  0.96111529  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -599]
 [   0    1    0 -155]
 [   0    0    1 2964]
 [   0    0    0    1]]"
0080.jpg,"[[ 0.89046375  0.03109568  0.4539905   0.        ]
 [ 0.0680584   0.97734064 -0.20043286  0.        ]
 [-0.44993596  0.20937606  0.86817008  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0 -136]
 [   0    1    0 -384]
 [   0    0    1 3109]
 [   0    0    0    1]]"
0081.jpg,"[[ 0.50680088 -0.75136321  0.42261826  0.        ]
 [ 0.79300743  0.21408178 -0.57035797  0.        ]
 [ 0.33807113  0.62419734  0.70433344  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   22]
 [   0    1    0  408]
 [   0    0    1 4853]
 [   0    0    0    1]]"
0082.jpg,"[[ 0.48514786  0.62096095 -0.61566148  0.        ]
 [-0.64275814  0.7306035   0.23039205  0.        ]
 [ 0.5928689   0.28394721  0.75357843  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0   66]
 [   0    1    0  302]
 [   0    0    1 3066]
 [   0    0    0    1]]"
0083.jpg,"[[ 0.48427526 -0.27959645 -0.82903757  0.        ]
 [-0.25793545  0.85982374 -0.44065002  0.        ]
 [ 0.83603037  0.42723408  0.34427353  0.        ]
 [ 0.          0.          0.          1.        ]]","[[   1    0    0  260]
 [   0    1    0  -50]
 [   0    0    1 2935]
 [   0    0    0    1]]"
